wordform	frequency	dispersion
0	2	0.973919101101071
knows	22	0.762450321500704
b	5	0.9071030857051214
occasional	2	0.9814717365047385
c	12	0.9362160645106323
lucky	9	0.8667588819894453
d	21	0.8600281657670658
again	101	0.4510208068513247
home	187	0.3909787642916263
study	18	0.8836533305267797
instead	14	0.7639187502819081
hurt	23	0.7626239878812682
freedom	10	0.9660557401532578
aspect	10	0.9179784797502167
even	198	0.33704411923052446
though	59	0.5479064802755111
curfew	1	0.9947978529867241
answer	20	0.7662810161727631
except	23	0.7098474938982522
learned	33	0.6874205816034984
manage	1	0.9947978529867241
grades	5	0.9324021590413616
working	69	0.5527077465011236
next	91	0.4417478548674892
set	33	0.7807608037494824
goals	2	0.9609638505911303
myself	57	0.6489344725196492
probably	220	0.4389516338832995
wo	22	0.7857797958232472
love	97	0.5618502708980105
made	149	0.45858011342390526
place	138	0.40437835389111837
putting	25	0.6732203695629291
pressure	28	0.9227446086612239
feeling	14	0.9142798434344194
disappointed	10	0.8593966912741251
better	53	0.6088851430354028
makes	19	0.7685107884805757
letting	7	0.889617256293445
down	426	0.36500750378895297
speak	24	0.8192078503305216
work	117	0.4459564364843191
harder	5	0.9595154686192258
classes	10	0.8926142542837525
interest	23	0.7788368449024125
give	63	0.5339520160527212
pick	44	0.7119189215910059
choose	10	0.8983225832318461
counselor	1	0.9947978529867241
been	277	0.388499746185321
helpful	3	0.929124505720858
felt	51	0.6249810955640243
nobody	39	0.6359499431171785
own	75	0.547210737071061
used	168	0.5946289944162476
school--	1	0.9947978529867241
-	133	0.5678672859020549
�	10	0.9485598873369319
lenient	2	0.9947978529867241
sa	2	0.973919101101071
show	31	0.6235482432124171
need	71	0.641569967282054
friend	56	0.6068647971585079
their	227	0.43043506587882685
classroom	7	0.9693283817714361
systems	3	0.9597009016052481
general	18	0.7833691670049564
opposed	8	0.9329033292738541
everywhere	15	0.8254023144041335
to--	7	0.8415299724857541
nervous	17	0.8594417965950493
balance	6	0.9554910716523081
weekends	3	0.9703958743666461
during	71	0.553977339905581
week	52	0.5516280515002532
should	64	0.5900782232763502
nice	70	0.5252396488658161
today	52	0.6324391492596751
childhood	42	0.7635060007975765
wondering	2	0.9749865936962807
mother	242	0.5252426399113003
great	116	0.6356747747369418
deal	26	0.7196937541467018
ah	152	0.7817896235077325
uncle	48	0.6633354507775655
wiggly	3	0.9866738835180147
favorite	135	0.6392768224916289
rabbit	5	0.9176126254804969
farmer	8	0.9320513398786164
chase	17	0.9760139926728912
his	410	0.3901865001119079
carrot	1	0.9866738835180147
patch	4	0.9544987545919721
characters	16	0.8975758395854316
associated	3	0.9594001994657523
st	12	0.8837285060616539
grade	66	0.6686278369082713
sick	23	0.8527160920749949
help	61	0.5463196728294993
herself	15	0.8455443460480221
utilizing	1	0.9866738835180147
bugs	5	0.9591796845634555
bunny	7	0.9130419529601619
thumper	1	0.9866738835180147
bambi	1	0.9866738835180147
cousin	33	0.726260819012394
phil	3	0.9680253391669548
trip	18	0.7750597645502246
canadian	3	0.9688272115389434
northwest	1	0.9866738835180147
hunt	3	0.9743551192033396
meeting	13	0.8758751685184905
course	152	0.48941030595915147
published	3	0.9662111029253305
copyrighted	1	0.9866738835180147
thought	167	0.41832841361225165
handwritten	1	0.9866738835180147
our	233	0.3970482019722061
file	3	0.9623019751118861
uhem	1	0.9866738835180147
peter	2	0.9866738835180147
cottontail	2	0.9866738835180147
chasing	3	0.9708318924689149
him	466	0.4202495767531351
under	49	0.5857015928110503
wire	4	0.9620062846747152
getting	100	0.487281502307889
mickey	2	0.9866738835180147
mouse	2	0.9866738835180147
disney	14	0.8672400054126385
world	66	0.6227580035747103
hundred	22	0.7806428009401953
ago	38	0.6317083284205461
women	33	0.792465406724702
three	158	0.39806942882516744
sisters	44	0.6916173127889986
envisioned	1	0.9866738835180147
us	330	0.3604631359679397
patterned	1	0.9866738835180147
girls	53	0.7075922278520345
loved	61	0.6549586727631969
