item	frequency	dispersion	REF	PRED	MOD
ʔaƛpu-p̓it	1	0.8911068611044703	0	0	0
č̓aːp	1	0.8911068611044703	0	0	0
t̓aːtn̓a	9	4.631604111881424	0	0	0
ʔaya-maḥsa	1	0.8911068611044703	0	0	0
hawiɬ-čaq-y̓akʷ	1	0.8911068611044703	0	0	0
ʔu-kʷiːɬ	4	2.340545063351662	0	0	0
ƛaːmaksim	2	1.3911068611044701	0	0	0
ƛaːmaksunup	1	0.8911068611044703	0	0	0
ʔutwiː	4	2.244322256753526	0	0	0
cik-paɬ	2	1.3911068611044701	0	0	0
wawaː	23	11.310901267033229	0	0	0
dupː-ƛ̓ay̓ixʷ	2	1.3911068611044701	0	0	0
kʷaʔaɬ	2	1.3911068611044701	0	0	0
ʔu-ʼaɬa	1	0.8911068611044703	0	0	0
kʷama	4	2.3911068611044706	0	0	0
ʔu-ʔaɬa	1	0.8911068611044703	0	0	0
tumiːs	2	1.3911068611044701	0	0	0
č̓aʔak	4	2.258666029165671	0	0	0
tas	2	1.3911068611044701	0	0	0
miɬ-a·s	1	0.8911068611044703	0	0	0
ḥaːɬ	21	10.357398995935931	0	0	0
qum̓aː	8	3.9807554386803727	0	0	0
tupk-a·s	1	0.8911068611044703	0	0	0
a·s	2	1.3680372938082712	0	0	0
k̓ic-aːʔis	1	0.8911068611044703	0	0	0
ʔiškʷiːc	1	0.8911068611044703	0	0	0
hin-aɬa	6	3.1985417164714316	0	0	0
hiɬ-sp̓i·	2	1.3911068611044701	0	0	0
mamaɬn̓i	16	7.9519483624193175	0	0	0
ʔu-ʼa·qsta	1	0.8911068611044703	0	0	0
ƛuːʔak	1	0.8911068611044703	0	0	0
ʔu-ḥʷʼaɬ-ckʷi·	2	1.3911068611044701	0	0	0
ʔišc̓iːp	1	0.8911068611044703	0	0	0
ƛ̓aːqƛ-w̓it̓as	1	0.8911068611044703	0	0	0
sit	1	0.8911068611044703	0	0	0
ʔuc̓inap	1	0.8911068611044703	0	0	0
ƛa	1	0.8911068611044703	0	0	0
y̓as	1	0.8911068611044703	0	0	0
v.wedge	1	0.8911068611044703	0	0	0
tumis	2	1.3911068611044701	0	0	0
hin-as-matak	1	0.8911068611044703	0	0	0
ʔunic	9	4.601362658379154	0	0	0
ʔaːʔaːʔiša·	2	1.3911068611044701	0	0	0
dup-c̓iq-ink	2	1.3911068611044701	0	0	0
wiːy̓aː	2	1.3571599330623951	0	0	0
ʔuxʷ-ʼas	3	1.7781496533588332	0	0	0
numaːk	5	2.8571599330623956	0	0	0
ʔu-ḥtin	3	1.8069567296198898	0	0	0
ʔuxʷ-ʼas-ckʷi·	2	1.3911068611044701	0	0	0
ʔac-yu·	14	7.095147023667225	0	0	0
yaːšmaɬ	1	0.8911068611044703	0	0	0
dup#-wiːq-y̓a·	1	0.8911068611044703	0	0	0
wik-sa·ʔa	1	0.8911068611044703	0	0	0
ḥaːʔḥuːp	1	0.8911068611044703	0	0	0
ʔinštis	3	1.8911068611044697	0	0	0
n̓ač-p̓ič	2	1.3911068611044701	0	0	0
hiɬ-tqi·	1	0.8911068611044703	0	0	0
ʔaːḥʔasa	10	4.857398995935931	0	0	0
keel	1	0.8911068611044703	0	0	0
čamaqƛ-cuk	1	0.8911068611044703	0	0	0
cikʷ-as	1	0.8911068611044703	0	0	0
hiɬ-ʼakƛi-aqs	1	0.8911068611044703	0	0	0
wik-ʼaɬuk	1	0.8911068611044703	0	0	0
ʕiːq	4	2.3911068611044706	0	0	0
hist-ʼiƛ	4	2.061797752808989	0	0	0
yaxʷ	3	1.8911068611044697	0	0	0
ʔu-caḥtak	2	1.3911068611044701	0	0	0
ƛičaː	1	0.8911068611044703	0	0	0
šaːxt-as	1	0.8911068611044703	0	0	0
ʔunwiː	1	0.8911068611044703	0	0	0
huḥtak	32	15.685154195553427	0	0	0
huʔa-ca	26	12.728185512789862	0	0	0
huʔa-p̓inq-sak	1	0.8911068611044703	0	0	0
qʷaːʔ	1	0.8911068611044703	0	0	0
ʔu-ḥʷʼaɬ-ckʷi·-ʔaːɬ	2	1.3911068611044701	0	0	0
yačaː	3	1.8911068611044697	0	0	0
tin̓uːk	1	0.8911068611044703	0	0	0
sačk-aɬ	2	1.3911068611044701	0	0	0
tas-maɬ-it	1	0.8911068611044703	0	0	0
qʷaː-ckʷi·	1	0.8911068611044703	0	0	0
tukʷa	1	0.8911068611044703	0	0	0
hiːʔuɬa	1	0.8911068611044703	0	0	0
čamaqƛ-ckʷi·	1	0.8911068611044703	0	0	0
ʔam-umɬ	1	0.9896007650011953	0	0	0
nay̓aqak	4	2.323571599330624	0	0	0
qʷaː-ʼaːḥ	1	0.9896007650011953	0	0	0
ʔu-ksnaʕaːɬ	5	2.954578054028209	0	0	0
c̓aḥʷackʷi	2	1.4896007650011946	0	0	0
waɬ-yaq-ʽiɬ	3	1.8650490078890747	0	0	0
c̓us-ʼi·tap	4	2.489600765001196	0	0	0
ʔana-siɬa	7	3.779942624910352	0	0	0
waḥ	2	1.3573989959359307	0	0	0
qʷi-maʕuk-maḥsa	2	1.4896007650011946	0	0	0
ḥaːkʷa·ƛ	24	12.325245039445374	0	0	0
ƛ̓aʕiːk	2	1.4896007650011946	0	0	0
t̓ut̓unaxk̓uk	1	0.9896007650011953	0	0	0
pic̓up	1	0.9896007650011953	0	0	0
č̓itapt	1	0.9896007650011953	0	0	0
qʷiq	12	6.0601243126942395	0	0	0
pikaʔuːq-iːɬ-y̓akʷ	1	0.9896007650011953	0	0	0
paːskit-iːɬ-y̓akʷ	1	0.9896007650011953	0	0	0
ʔana-siɬa-sa	1	0.9896007650011953	0	0	0
