item,gloss,token_freq,rel_freq,dispersion,flexibility
qʷi-ʼi·c,that.which-eat,5,0.598,0.739,0.000
qʷiq,that.which,11,1.315,0.560,0.277
qʷis,do.so,60,7.172,0.294,0.476
qʷis-ckʷi·,do.so-happened,4,0.478,0.750,0.512
qʷisḥ,how,6,0.717,0.954,0.631
qʷiyu,when,13,1.554,0.522,0.247
qʷi-ʔiː,that.which-reach,4,0.478,0.788,0.000
saːpinq-as,sawbill-female,5,0.598,0.977,0.000
sa-štu·p,crawl-thing,6,0.717,0.746,0.000
saya·,far,4,0.478,0.773,0.000
saya-ʔiː,far.off-reach,8,0.956,0.788,0.000
siːḥ-iɬ,you.all-to,4,0.478,0.943,0.000
siːk,sailing,6,0.717,0.886,0.000
su,holding,5,0.598,0.641,0.000
suːḥaː,salmon,6,0.717,0.811,0.000
suːt,drill,4,0.478,0.891,0.000
suč̓as,tree,11,1.315,0.760,0.277
sukʷi(ƛ),take,21,2.510,0.553,0.000
sukʷi(ƛ)-ʼas,take-outdoors,4,0.478,0.941,0.000
sukʷiƛ,take,8,0.956,0.785,0.000
sus,swim,4,0.478,0.761,0.000
sut-(č)iɬ,you-doing.to,13,1.554,0.469,0.000
t̓aːtn̓a,children,9,1.076,0.653,0.318
t̓an̓a,child,9,1.076,0.659,0.000
t̓apat,think,8,0.956,0.869,0.000
t̓aps,dive,12,1.434,0.674,0.000
t̓aps-ʼatu,dive-sink.into.water,4,0.478,0.674,0.000
tapʕaq,thwart,4,0.478,0.891,0.000
tiːč,alive,4,0.478,0.852,0.000
t̓iqʷ-ʽiɬ,sit.down-on.the.floor,5,0.598,0.805,0.000
tuːḥuk,afraid,4,0.478,0.721,0.000
t̓uḥc̓iti,head,13,1.554,0.573,0.391
tukuːk,sea.lion,12,1.434,0.920,0.000
tup̓aɬ,sea,4,0.478,0.750,0.000
tuškuːḥ,ling.cod,4,0.478,0.836,0.512
tuxʷ-cpa·,jump-go.over,5,0.598,0.855,0.000
waː,say,135,16.137,0.428,0.000
waːɬak,gradually,4,0.478,0.894,0.000
waːsniːp-m̓i·t,snipe-son.of,7,0.837,0.978,0.000
wa·,say,273,32.632,0.261,0.120
wa·ɬ-ʼaqstuƛ,word-inside,4,0.478,0.929,0.000
wa·-na·k,say-having,4,0.478,0.911,0.000
waɬ,go.home,18,2.152,0.692,0.000
waɬaːk,go,8,0.956,0.768,0.000
w̓aqʔuː,go.for.a.meal.as.a.guest,4,0.478,0.953,0.000
watq,swallow,5,0.598,0.910,0.000
wawaː,say,23,2.749,0.532,0.352
waʔič,sleeping,11,1.315,0.666,0.000
weː,INTJ,4,0.478,0.943,0.000
wiːḥaːqsusiːs,NAME,4,0.478,0.886,0.000
wiːnap,stopping,6,0.717,0.855,0.000
wiːy̓a,never,20,2.391,0.563,0.000
wič-siɬa,mistaken-do,6,0.717,0.864,0.000
wik,not,139,16.615,0.190,0.039
wik-cuk,not-needing,6,0.717,0.789,0.000
wik-ḥsa·,not-longing,4,0.478,0.943,0.000
wik̓iːt,none.present,25,2.988,0.438,0.000
wik-maɬ,not-surviving,4,0.478,0.753,0.000
wik-stup,not-thing,4,0.478,0.755,0.000
wik-ʕaƛ,not-make.sound,4,0.478,0.893,0.000
wim̓aːqƛ,incapable.of,13,1.554,0.773,0.000
xaːs,SOUND,4,0.478,0.982,0.000
xaːš,SOUND,4,0.478,0.982,0.000
xaːšxiːp,blue.jay,6,0.717,0.982,0.631
yaːc,walk,16,1.913,0.710,0.000
yaːɬ,there,7,0.837,0.632,0.000
yac,step,4,0.478,0.902,0.000
yack,kick,4,0.478,0.852,0.000
yac-panač,step-move.about.randomly,6,0.717,0.812,0.000
y̓ak,ine.view,4,0.478,0.742,0.512
yaɬaː,SONG,4,0.478,0.957,0.000
yaq,who,27,3.227,0.768,0.000
yaqʷ,which,16,1.913,0.523,0.213
yaqʷ-(č)iɬ,which-with.ref.to,21,2.510,0.407,0.443
yaqʷ-iɬ,who-with.ref.to,4,0.478,0.863,0.000
y̓uːqʷaː,also,43,5.140,0.410,0.000
ʕaːḥuːsʔatḥ,Ahousaht,11,1.315,0.782,0.000
ʔaːḥʔasa,it.seems,10,1.195,0.413,0.000
ʕaːnis-m̓i·t,crane-son.of,19,2.271,0.934,0.000
ʔaːw,EXP,4,0.478,0.978,0.000
ʔaːʔaːʔiša,hurry,5,0.598,0.733,0.000
ʔac,go.out.hunting,6,0.717,0.614,0.000
ʕac̓ik,know.how.to,5,0.598,0.566,0.000
ʔac-yu·,go.out.hunting-done,14,1.673,0.693,0.000
ʔaḥ,this,105,12.551,0.317,0.732
ʔaḥku·,right.here,6,0.717,0.688,0.631
ʕaḥmis,mammals,4,0.478,0.693,0.000
ʔaḥʔaː,that,107,12.790,0.275,0.672
ʔaƛa,two,12,1.434,0.423,0.783
ʔaƛa-či·ɬ,two-days.long,4,0.478,0.725,0.579
ʔaƛakʷaɬ,eight,8,0.956,0.614,0.921
ʔam̓iː,tomorrow,4,0.478,0.839,0.000
ʕam̓iːt,clam.shell,7,0.837,0.975,0.000
ʔan,because,48,5.738,0.701,0.000
ʔana,only,12,1.434,0.462,0.410
ʔana-ʼi·c,only-eat,4,0.478,0.640,0.000
ʔana-iya,only-at.times,18,2.152,0.677,0.000
ʔana-siɬa,only-do,8,0.956,0.780,0.000
ʔap-quː-ʼa·,LOC-at.a.point-on.the.rock,4,0.478,0.729,0.512
ʔat,even.if,9,1.076,0.641,0.000
ʔatḥ,night,4,0.478,0.678,0.000
ʕat̓uː-m̓i·t,beaver-son.of,7,0.837,0.979,0.000
ʔaya,many,34,4.064,0.424,0.652
ʔaʔim,first.time,4,0.478,0.807,0.512
ʕaʔuk,lake,4,0.478,0.755,0.512
ʔaʔum,at.first,5,0.598,0.808,0.000
ʔiːč̓im,old,5,0.598,0.801,0.613
ʔiːč̓um,parent,5,0.598,0.957,0.000
ʔiːcʔiːqḥ,tell.story,4,0.478,0.806,0.000
ʔiːḥ,big,13,1.554,0.561,0.719
ʔiːḥ-s,large-vessel,4,0.478,0.891,0.512
ʔiːḥʷ,large,7,0.837,0.811,0.545
ʔiːnax-yu·,dressed.up-have.done,4,0.478,0.853,0.000
ʔiːqḥ,telling,19,2.271,0.494,0.000
ʔi·ḥʷ,large,6,0.717,0.878,0.410
ʔi·ḥʷ-camis,important-thing,5,0.598,0.957,0.000
ʕiḥ,cry,6,0.717,0.760,0.000
ʕimtiː,name,5,0.598,0.675,0.000
ʕimti·,NAME,8,0.956,0.665,0.000
ʔin,that,52,6.216,0.369,0.000
ʕiniːƛ,dog,29,3.466,0.839,0.228
ʔink,fire,6,0.717,0.755,0.000
ʔinkʷ,fire,19,2.271,0.837,0.397
