freq,ref,pred,mod,entropy
14,7,7,0,0.630929754
14,7,6,1,0.817581734
14,7,5,2,0.903213977
14,7,4,3,0.941734626
14,6,6,2,0.914100892
14,6,5,3,0.965713065
14,6,4,4,0.982141033
14,5,5,4,0.995232557
15,15,0,0,0
15,14,1,0,0.222944918
15,13,2,0,0.357427703
15,13,1,1,0.441551671
15,12,3,0,0.455485915
15,12,2,1,0.571361948
15,11,4,0,0.527861537
15,11,3,1,0.664357406
15,11,2,2,0.696109471
15,10,5,0,0.579380164
15,10,4,1,0.731208803
15,10,3,2,0.783580704
15,9,6,0,0.612601619
15,9,5,1,0.776649014
15,9,4,2,0.844353685
15,9,3,3,0.864973521
15,8,7,0,0.628905499
15,8,6,1,0.803114014
15,8,5,2,0.883037441
15,8,4,3,0.918990046
15,7,7,1,0.811812688
15,7,6,2,0.901897236
15,7,5,3,0.950068598
15,7,4,4,0.965401367
15,6,6,3,0.960229718
15,6,5,4,0.987781244
15,5,5,5,1
16,16,0,0,0
16,15,1,0,0.212806339
16,14,2,0,0.34295098
16,14,1,1,0.421817199
16,13,3,0,0.43926103
16,13,2,1,0.547894811
16,12,4,0,0.511859507
16,12,3,1,0.639824384
16,12,2,2,0.669591946
16,11,5,0,0.565337181
16,11,4,1,0.70767653
16,11,3,2,0.756775187
16,10,6,0,0.60218081
16,10,5,1,0.755975243
16,10,4,2,0.819448372
16,10,3,3,0.838779468
16,9,7,0,0.623799874
16,9,6,1,0.787120357
16,9,5,2,0.86204857
16,9,4,3,0.895754138
16,8,8,0,0.630929754
16,8,7,1,0.802405244
16,8,6,2,0.886859507
16,8,5,3,0.932020159
16,8,4,4,0.94639463
16,7,7,2,0.895014515
16,7,6,3,0.949701216
16,7,5,4,0.975530772
16,6,6,4,0.985056822
16,6,5,5,0.996511906
17,17,0,0,0
17,16,1,0,0.203636969
17,15,2,0,0.329698257
17,15,1,1,0.403925287
17,14,3,0,0.424170803
17,14,2,1,0.526414362
17,13,4,0,0.496621583
17,13,3,1,0.617059114
17,13,2,2,0.645075643
17,12,5,0,0.551420647
17,12,4,1,0.685387093
17,12,3,2,0.731597594
17,11,6,0,0.59097132
17,11,5,1,0.735719021
17,11,4,2,0.795458437
17,11,3,3,0.81365241
17,10,7,0,0.616681983
17,10,6,1,0.770395378
17,10,5,2,0.840916049
17,10,4,3,0.872638937
17,9,8,0,0.629354036
17,9,7,1,0.790742732
17,9,6,2,0.870229098
17,9,5,3,0.912733241
17,9,4,4,0.926262155
17,8,8,1,0.797453207
17,8,7,2,0.884614874
17,8,6,3,0.936084711
