wordform	frequency	dispersion
headstrong	1	0.9991793184546862
artistic	9	0.9964172728928173
sense	493	0.8458649563733225
humor	31	0.9845163102355251
main	257	0.896172210408057
occasion	54	0.9769428300704632
person	1263	0.6729138040676584
flaws	5	0.9980067839715556
unfolded	1	0.9991793184546862
learning	187	0.9381032040222348
conquer	1	0.9991793184546862
fears	7	0.9960126420143277
afterward	10	0.9947731320158397
certainly	706	0.7970220766340811
taught	173	0.942625440201976
lesson	38	0.9791499356479498
start	1222	0.6468728725390728
allowed	179	0.9344004148160957
chose	79	0.9718443575443143
ones	1067	0.6758939841683773
big	2796	0.4722295761514409
grimm	4	0.9977407337676968
fairytales	2	0.9987070947749832
grim	3	0.9987407368541259
throwing	80	0.9599227158108513
oven	39	0.9862048956941226
however	154	0.9393066027981569
seem	789	0.74673179509688
horrifying	3	0.9981589449350151
fiction	72	0.980659199565431
backs	18	0.991422504390446
cereal	10	0.9903135503504641
boxes	65	0.9831459356356042
hands	154	0.9315044182235138
classic	52	0.9819085861376116
comics	9	0.9971385714153438
ivanhoe	1	0.9991793184546862
disinherited	1	0.9991793184546862
knight	3	0.9980419692653378
kinds	547	0.806859466067032
heroic	4	0.9985444399519744
forgot	92	0.9563152972694365
comic	7	0.9945185016003137
archie	10	0.995724369519659
superheroes	1	0.9991793184546862
captain	13	0.9945796129000398
marvel	2	0.998874070598983
superman	2	0.9987123417047578
batman	12	0.9966422735872646
father	440	0.8711654623513146
history	228	0.9261818709317002
historical	40	0.9836539618949439
factual	10	0.9955123318281845
busy	195	0.9260494631156269
taking	678	0.7684526804095065
biographical	1	0.9991793184546862
novels	38	0.9855570541884389
terms	404	0.898298142895503
analytical	2	0.9988595643813712
sport	90	0.9733891153985053
kings	7	0.9969246818663019
peruse	1	0.9991793184546862
paper	797	0.8488759555669276
check	431	0.8837521103460201
spent	427	0.8548118975675847
result	56	0.9774132018925983
amusement	5	0.9976669681079262
lives	453	0.8458615613011147
library	99	0.9654785971561639
absolutely	594	0.8299078083574343
reasons	160	0.9318192340099813
educated	55	0.9823693900289812
poetry	15	0.9956061592782689
golly	80	0.9599838271105783
whose	3	0.9976824002543223
woods	79	0.9721866425513662
house	2198	0.6625155542765975
village	23	0.9908160210371024
gail	5	0.9979799320368273
dating	40	0.9855385356127648
poem	19	0.9914036771718426
robert	23	0.9885780511668248
frost	14	0.9948138728823238
middle	499	0.8188920441322763
adulthood	6	0.9966583230195147
gee	216	0.917363633838376
howled	1	0.9991793184546862
catcher	8	0.9960823953160357
rye	14	0.9945950450464356
j	28	0.9875666282920628
salinger	1	0.9991793184546862
peyton	1	0.9991793184546862
fascination	2	0.9986432056889062
summer	696	0.8172456346803683
camp	210	0.9576887582986375
nh	1	0.9991793184546862
gilmanton	1	0.9991793184546862
iron	59	0.9836808138296725
works	573	0.8052771767814092
author	33	0.9875002700625617
such	830	0.7229214897547089
racy	2	0.9989577128324468
shocking	9	0.9924302235500729
gosh	600	0.8090648530808222
ahead	525	0.8169106018698772
dave	19	0.9921283707665763
painting	152	0.9787147491195959
ayn	1	0.9991793184546862
rand	1	0.9991793184546862
appearing	1	0.9991793184546862
future	201	0.919841110620712
atlas	1	0.9991793184546862
shrugged	1	0.9991793184546862
george	49	0.9760212222877229
orwell	5	0.9977935117083695
animal	90	0.9770863490319416
farm	130	0.957433510597255
whew	8	0.9899320676915674
political	174	0.9492773125842984
making	593	0.794216115848254
president	222	0.9383121552844308
series	103	0.9663659455739066
positions	52	0.9809487066318112
power	287	0.9195022206858664
aspiring	1	0.9991793184546862
civil	157	0.9648495828690836
war	515	0.9035987016261018
lawyer	87	0.9765777054867457
grisham	1	0.9991793184546862
turow	1	0.9991793184546862
current	181	0.950081018768576
writers	29	0.9874913194176529
novelists	1	0.9991793184546862
anita	3	0.9985654276710729
shrever	1	0.9991793184546862
rosamunde	1	0.9991793184546862
pilcher	1	0.9991793184546862
maeve	1	0.9991793184546862
binchy	1	0.9991793184546862
have	12	0.9884200259877337
foreign	142	0.9630943305380566
authors	24	0.9883996555544924
somebody	1431	0.6208817935352254
