item	frequency	GER	INF	MOD	PRED	PREDCXN	REF	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
seven	695	NaN	NaN	344	0	NaN	54	0.7669676317066432	0.9761028084614815	1	0.8681278101127956	0.7669970864155902	0.9761402948206667	1	0.8681611497883159	
six	1185	NaN	NaN	760	0	NaN	81	0.6482738851797777	0.9603451321588259	1	0.7334499237323674	0.6482987815610806	0.9603820133584842	1	0.7334780912235856	
something	5418	NaN	NaN	0	0	NaN	5092	0.34066283978415135	0.3470523536126525	1	1	0.340675922637169	0.3470656818492592	1	1	
sound	1150	NaN	NaN	24	1048	NaN	54	0.6791817353596281	0.9744963494455414	0.702453097279196	0.9924684752771514	0.6792078187293952	0.9745337741100987	0.7024800743648956	0.9925065901451979	
stick	377	NaN	NaN	28	182	NaN	33	0.8530168341789587	0.9850235868982489	0.9217609297738685	0.9870518604540404	0.8530495935309039	0.9850614158519865	0.9217963291815916	0.9870897673018177	
take	6186	NaN	NaN	34	4569	NaN	21	0.3410254639087814	0.9914236163914735	0.37373975490703265	0.985194709038597	0.34103856068805566	0.9914616911326448	0.37375410804952214	0.985232544564128	
talk	3308	NaN	NaN	70	1974	NaN	58	0.42003765885881456	0.9752226200735172	0.5280402872165966	0.9688078439685576	0.42005379003107923	0.9752600726298513	0.5280605661336321	0.9688450501711273	
thing	10666	NaN	NaN	0	4	NaN	10649	0.2667349592104725	0.26691097115265267	0.9980675794204878	1	0.26674520292906606	0.2669212216308281	0.9981059093171432	1	
think	21082	NaN	NaN	58	20089	NaN	162	0.26162677954076924	0.9300119662609801	0.26673821354510896	0.9700404149327866	0.26163682708427116	0.9300476825424124	0.2667484573886823	0.9700776684711466	
three	2560	NaN	NaN	1964	1	NaN	269	0.47660634380803535	0.8970302474512166	0.9991247271492772	0.5237688762128584	0.4766246474502737	0.8970646970991067	0.9991630976447498	0.5237889910901578	
