wordform	frequency	dispersion
office	406	0.8829496282061209
south	362	0.8831475413865195
amazing	303	0.8831857828062268
reading	595	0.8836502893177047
check	431	0.8837183581491153
companies	385	0.8837235809074391
book	610	0.8837810186579641
white	359	0.8846397723538012
cars	724	0.8854920969202364
free	354	0.8855257397499523
awful	315	0.8857748960440679
computer	606	0.8860343366398074
easier	303	0.8864899454982198
concerned	305	0.886635115061974
seventy	373	0.8867721356626809
tough	356	0.8869681427103346
short	293	0.8874501725814408
lately	338	0.8877189501223217
dollar	355	0.8877214574472727
regular	333	0.8878206812012953
stand	277	0.8879189919461995
seeing	277	0.8883595469717985
period	286	0.8886289798570502
local	412	0.8887573982675798
education	518	0.8891371235197705
black	345	0.8897955784341741
seemed	281	0.8901183876423387
knows	275	0.8901709224466473
driving	346	0.8906375912638613
depends	313	0.8907801418439711
subject	299	0.8908627113617432
asked	278	0.8908692359565391
learned	288	0.8916120965227177
level	328	0.8917494243445054
service	477	0.8918354462462961
built	354	0.8920695487075977
consider	296	0.8926523470922294
beautiful	346	0.8927025866176758
baby	341	0.8927159418553378
special	300	0.8928016718971058
cold	439	0.8930423506040324
send	326	0.8932142544435688
listen	561	0.8935647591926026
worry	289	0.8938729364344223
twice	250	0.893892291362326
glad	249	0.8941703264377558
telling	293	0.8942412945067324
sell	330	0.8944075011098362
fast	295	0.8947949068889706
fall	281	0.8947976718786718
christmas	410	0.8948800108741258
ah	457	0.8951883017984843
catch	346	0.8952004387116992
main	257	0.8953205621531273
means	274	0.8955230208434131
choice	320	0.8955586584884402
road	319	0.8956827758038812
schools	634	0.8959116555068607
obviously	260	0.8966711060112409
california	414	0.896693840371
break	271	0.8967472968385406
east	313	0.8968852391024836
worse	277	0.8981537549328185
terms	404	0.8985506845653675
picked	251	0.8989380903445023
ninety	313	0.8990462321638961
third	256	0.8990520693643748
necessarily	278	0.8991194800784982
phone	398	0.8992093665562207
throw	305	0.8993085989643576
nineteen	314	0.8993122856172912
completely	258	0.8993402427353729
sad	276	0.8994775705571598
afford	301	0.8995252194235968
noticed	263	0.9000124424536511
biggest	264	0.900165745771486
anywhere	243	0.9003221213000984
forget	222	0.9005623681829553
building	297	0.9013608357642198
single	288	0.9015909347508512
huge	243	0.9016659062944982
strange	268	0.9018453234039479
york	379	0.9021553094714716
surprised	237	0.9022103020444031
society	376	0.902396478017564
personal	323	0.9024270916943775
familiar	260	0.9024278145675021
low	278	0.9029752825281837
feeling	268	0.9029989385511759
stories	579	0.903067141630451
anyone	250	0.9032238243801436
war	515	0.9032424545049194
build	240	0.9034100003533037
rid	260	0.9035003233501823
degree	299	0.9037685273511245
spending	319	0.9037689222120705
plano	407	0.9039774376840445
minute	235	0.9041439515082247
word	289	0.9043470480277388
pull	248	0.9043857344964715
save	279	0.9047523681666042
suppose	303	0.9048250606377595
plan	346	0.9051946475943816
order	272	0.9052530195991683
