lexeme	frequency	dispersion
huːxsʔatu	0.7589050920392064	2
qaːy̓uːk̓ʷatḥ	0.7597418120965815	5
ʕiḥ	0.759980874970117	7
suč̓as	0.760100406406885	11
sus	0.7605785321539565	4
ʔu-aqsti·	0.7622519722687068	3
yaqʷ-wi·	0.7622519722687068	3
m̓uksy̓i	0.7632082237628496	11
waɬaːk	0.7675113554864929	8
kʷis-ca	0.767511355486493	9
nuːk	0.7675644805695009	9
qʷaːƛaː	0.7677504183600288	11
ʔuːš-cuk	0.7688262012909395	3
ʔuḥʔiːš	0.7690652641644752	4
kʷis-ut-a·qtu·	0.7726512072675112	3
mituːni	0.7726512072675112	3
wiːq-ḥap	0.7726512072675114	4
saya·	0.7726512072675114	4
ƛ̓ay̓ix	0.7726512072675114	6
ʔunaː	0.7726512072675114	3
naʔaː-ckʷi·	0.7726512072675115	2
niːyaː	0.7726512072675115	2
ʔiːḥ-camis	0.7726512072675115	2
hašiː	0.7726512072675115	2
ʔačaq-ʔišt	0.7726512072675115	2
ɬiʔaː	0.7726512072675115	2
yac-a·qtu·	0.7726512072675115	2
ʔaya-ʼatḥ	0.7726512072675115	2
ƛimk	0.7731293330145829	5
wim̓aːqƛ	0.7732488644513508	13
hiːtkin	0.7734879273248862	6
čaːkupiːḥ	0.774922304566101	3
ʔu-ḥta·	0.7756394931867081	7
k̓aḥ	0.7767152761176189	2
ka	0.7767152761176189	4
ʔuḥʔiš	0.7767152761176189	2
c̓aːḥ	0.7767152761176189	3
ʔuːna	0.7776715276117618	3
hita-ʼa·qƛ̓i(ƛ)	0.7781496533588332	3
ʔuxʷ-ʼas	0.7781496533588332	3
hiːkʷaɬ	0.7781496533588333	3
kʷis-caqc̓uː	0.7781496533588335	2
čačam	0.7781496533588335	2
hiɬ-ʼaḥs	0.7781496533588335	2
ʔana-siɬa	0.7799426249103515	7
ʕaːḥuːsʔatḥ	0.7817355964618694	11
ḥayu-či·ɬ	0.7836480994501553	3
qʷaq	0.7836480994501553	3
ʕuyaːs	0.7836480994501553	3
himwic̓a	0.7836480994501555	2
ʔukʷ-in	0.7836480994501555	2
qiː-(y)u·k̓ʷaɬ	0.7836480994501555	2
hiɬ-ačišt	0.7844848195075306	3
sukʷiƛ	0.7846043509442985	8
ʔumʔi·qsu	0.786263728537076	17
ciq-y̓akʷ	0.7874731054267272	7
ʔu-(w)aƛ	0.7881902940473344	3
quʔac-tu·p	0.7881902940473344	3
wik-ʼi(ƛ)	0.7881902940473344	3
ʔu-cpa·	0.7881902940473344	6
saya-ʔiː	0.7881902940473344	9
dup-ʔuːq	0.7881902940473345	2
qʷi-ʔiː	0.7881902940473345	4
dup-ʔu·q	0.7881902940473345	2
kʷiːsqšiƛ	0.7881902940473345	2
hita-inq-ʽsa(ƛ)	0.7881902940473345	4
ʕiːčnuː	0.7881902940473345	2
wik-cuk	0.788548888357638	6
kamatq	0.7918074192643101	23
ʔinkʷ	0.7926249103514224	20
nas	0.7928520200812814	6
mač	0.7942723348005233	17
ƛiːs	0.7965574946210854	3
kamatqʷ	0.8007410949079607	5
hap-tu·p	0.801458283528568	4
waːxniː	0.801458283528568	3
tuč̓iː	0.801458283528568	2
ʔaya-aːƛ	0.801458283528568	2
waɬ-yu·	0.801458283528568	3
qaːn̓im	0.801458283528568	4
ʔiːč̓im	0.8014582835285681	5
n̓uw̓i·qsu	0.802414535022711	11
ʕupnit	0.8028926607697824	3
kʷis-q	0.8028926607697824	4
t̓ašiːs	0.8028926607697824	3
m̓aːm̓i·qsu	0.8028926607697825	2
čamiḥta-ckʷi·	0.8028926607697825	2
t̓iqʷ-ʽiɬ	0.8050442266316042	5
ɬim̓aqsti	0.806000478125747	4
k̓ʷak̓ʷaƛ	0.806000478125747	6
ʔiːcʔiːqḥ	0.806000478125747	4
hač̓a	0.806000478125747	3
waːsi	0.806000478125747	3
ƛ̓aːʔaː	0.8060004781257472	2
hita-ʽsa(ƛ)	0.8060004781257472	6
yaqʷ-ʔič	0.8060004781257472	2
qʷiš	0.8060004781257472	2
č̓apac-iːɬ-w̓it̓as	0.80695672961989	2
ʔu-cuk	0.80695672961989	2
ʔaʔim	0.80695672961989	4
ʔu-ḥtin	0.8069567296198901	3
čimt̓a	0.8074348553669616	3
ʔu-ʔi·ya-ʔis	0.8074348553669616	2
ʔaʔum	0.8076739182404972	5
kuːčiɬ	0.8091082954817118	4
ʔiːḥʷ	0.8110207984699978	7
suːḥaː	0.8113793927803012	6
yac-panač	0.8119770499641407	6
wiːqsiː	0.8128137700215157	4
hiniːp	0.8205833134114273	6
ʔuʔumḥi	0.822615347836481	8
nay̓aqak	0.8235715993306241	4
nunuːk	0.8237462991228233	13
ʔiq	0.8240497250776955	6
č̓an̓iː	0.8244083193879991	3
hiš-sa·cu	0.8244083193879992	2
mat	0.8263208223762849	7
ƛ̓aːq	0.8296677026057853	7
hin-as	0.8296677026057854	6
kuːkuḥʷʼisa	0.830655829149733	15
huʔa-in	0.8311020798469999	4
qʷa-ya·tuk	0.833851302892661	2
čičiči	0.833851302892661	3
ʔuːš-ḥtin	0.833851302892661	2
qacc̓a-či·ɬ	0.833851302892661	2
ʔu-cḥinƛ	0.8339708343294288	2
ma	0.8339708343294288	2
wic̓ik	0.8339708343294288	3
hiš-iɬ	0.8339708343294288	2
qiː-ḥsn̓a·k	0.8343294286397323	3
qay̓apt̓a	0.8352856801338752	3
huɬ	0.8352856801338754	2
ʔunic-ḥn̓a·k	0.8362419316280181	4
quʔiːči(ƛ)	0.8362419316280182	2
tuškuːḥ	0.8362419316280182	4
naʔu·-qs	0.8362419316280182	2
(č)iɬ	0.8362419316280182	2
c̓awa·-in	0.8362419316280182	2
—	0.8366005259383217	6
ƛ̓aq	0.8388716232369113	5
ʔam̓iː	0.8389911546736792	4
ʕiniːƛ	0.8391766344893534	29
ʔu-kʷiːɬ	0.8405450633516615	4
qʷi-ca	0.8405450633516615	3
n̓up-qʔičḥ	0.8415013148458046	6
haʔukʷ	0.8415013148458047	4
ʔu-iːc	0.8422185034664116	4
m̓uč̓ič	0.8423380349031796	6
ƛaqmis	0.842935692087019	5
č̓uḥ	0.8436528807076262	2
hin-iːc	0.8436528807076262	2
k̓acḥaq	0.8441310064546976	6
nay̓aq-na·k	0.8443700693282333	2
ʔuːš-su·qstu(ƛ)	0.844609132201769	4
hinusa	0.8447286636385369	4
muk	0.8447286636385369	2
k̓uč	0.8460435094429836	2
haw̓iːqstu(ƛ)	0.8460435094429836	3
maƛaːk	0.8467606980635908	3
sit̓a	0.8467606980635908	2
hiniːc	0.8472388238106622	9
c̓iːḥati	0.8497489839827875	2
naqmiːḥa	0.8497489839827875	3
ʔaːni	0.8499880468563232	5
wiːna	0.8516614869710734	3
yaqʷ-ac	0.8516614869710734	3
yack	0.8516614869710735	4
č̓uš	0.8516614869710735	4
ƛa-ʼas	0.8517810184078414	2
maːʔak	0.8524982070284485	12
qʷi-k̓ʷič	0.8530958642122879	2
ʔiːnax-yu·	0.8530958642122879	4
kʷis-aḥi	0.853095864212288	2
dup-hin-ataḥ	0.853095864212288	2
hiɬ-l	0.853095864212288	2
wiːnap	0.8545302414535023	6
tuxʷ-cpa·	0.8545302414535023	5
hamuːt	0.8545302414535024	2
ʔu-taq	0.8558450872579488	5
hin-at	0.856681807315324	3
ʔaːp	0.8571599330623955	2
wiːy̓aː	0.8571599330623955	2
numaːk	0.8571599330623955	5
ḥamat	0.8572794644991634	3
waḥ	0.8573989959359312	2
tiːčmis	0.8573989959359313	2
hat̓inq-ʼaqa	0.8573989959359313	2
ḥumiːs	0.8585943103036099	7
tuːḥ	0.8625388477169494	3
yaqʷ-iɬ	0.8625388477169496	4
ƛ̓i	0.8625388477169496	8
ḥan̓aḥ	0.8630169734640211	4
ḥakʷaƛ-na·k	0.8636146306478604	2
muː-p̓it	0.8636146306478605	4
hin-a·ḥin	0.863973224958164	2
ḥa-ʔiː	0.8640927563949319	3
wiʔak	0.8645708821420034	3
waɬ-yaq-ʽiɬ	0.865049007889075	3
xʷak	0.8652880707626106	2
hin-ʔaɬ	0.8673201051876646	5
hiɬ-a·s	0.8675591680612001	2
ḥaːkʷa·ƛ	0.867728504263288	24
n̓ač-p-ʼa·ʔa	0.867798230934736	1
kʷis-aqs	0.867798230934736	4
ʔiʔiːnis	0.867798230934736	2
ƛ̓up-ʽi·čḥ-iya	0.867798230934736	2
ḥacqaɬ	0.867798230934736	2
č̓aːstimc-m̓i·t	0.867798230934736	19
saya-ʔiː-p	0.867798230934736	1
qʷa	0.867798230934736	2
ʔuʔumḥi-matak	0.867798230934736	1
c̓aːnit	0.867798230934736	2
qʷaː-sasa	0.867798230934736	1
huʔa-??-in	0.867798230934736	1
c̓aː	0.867798230934736	3
hita-pʔiɬ	0.867798230934736	2
hita-ʼaqƛ-u·(ƛ)	0.867798230934736	1
ʔana-(č)iɬ	0.867798230934736	1
qum̓aː-či·ɬ	0.867798230934736	1
dup	0.867798230934736	1
dup-ciq	0.867798230934736	1
dup-ʔukʷa-(č)ink	0.867798230934736	1
saya-p̓inč	0.867798230934736	1
ʔuncukʷ-ʔis	0.867798230934736	1
miɬ-uːk	0.867798230934736	1
tuːpšiƛ	0.867798230934736	1
kuʔaɬ	0.867798230934736	1
tax̣	0.867798230934736	1
ʔu	0.867798230934736	1
m̓a-aqsuɬ	0.867798230934736	1
hisit	0.867798230934736	3
ʔaya,	0.867798230934736	1
kinaːḥ-ckʷi·	0.867798230934736	1
hita-inq-ʔis	0.867798230934736	1
m̓ukʷ-aqa	0.867798230934736	1
sačk-a	0.867798230934736	1
č̓i	0.867798230934736	1
maḥt̓iq-(č)iːɬ	0.867798230934736	1
čašk	0.867798230934736	1
sač̓ut-cqi·	0.867798230934736	1
č̓aːsta	0.867798230934736	2
ƛ̓uːyiː-ʽ(i)pi(ƛ)	0.867798230934736	2
qʷi-csapa-ḥi	0.867798230934736	1
hatk	0.867798230934736	2
ʔunukʷit	0.867798230934736	1
t̓aʔak	0.867798230934736	1
k̓ʷitx	0.867798230934736	1
ʔuʔinkʷit	0.867798230934736	1
c̓iš-p̓u·qs-mip̓it	0.867798230934736	1
c̓awa·-ʼa·qƛ̓as	0.867798230934736	1
quʔac	0.867798230934736	1
ʔu-l-yuʔaːɬ	0.867798230934736	1
sukʷi(ƛ)-ʼatuk	0.867798230934736	1
yuːɬ-ʼaƛ	0.867798230934736	1
ku	0.867798230934736	1
hiʔiːš	0.867798230934736	1
yac-ckʷi·	0.867798230934736	1
wiːʔak	0.867798230934736	1
č̓i·q-ʼaqa	0.867798230934736	1
m̓aː-aqsuːɬ	0.867798230934736	1
qʷayaːc̓ik-m̓i·t	0.867798230934736	8
ʔu-(kʷ)i·ɬ	0.867798230934736	1
muːstati	0.867798230934736	4
y̓imqƛ	0.867798230934736	2
ʔaʔiːḥʷ	0.867798230934736	2
čamniḥta	0.867798230934736	1
ʔašx-tu·p	0.867798230934736	1
t̓ač	0.867798230934736	1
qʷayaːc̓ik	0.867798230934736	2
qac-u·t	0.867798230934736	3
ʔanat̓uː-ʼas	0.867798230934736	1
