item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm	language
five		NA	2222	0.682645234924278	0.302144845798164	0.120410143465065	0	0	0	1226	0	37	141	0.376653041411865	0	0.0433181719731427	0.0113671798794772	0	0.512382159095729	0.938219991797196	1	0.631223639175449	1	0.980016804992956	0.512401836676297	0.93825602330054	1	0.631247880757237	English
four		NA	1757	0.539787433736254	0.301295505796315	0.155130959916117	0	0	0	1223	0	52	140	0.375731378178394	0	0.043010950895319	0.0159754960468328	0	0.577968652467388	0.939468845478549	1	0.659824211189063	1	0.980372259779997	0.577990848838832	0.939504924943007	1	0.659849551150352	English
friend		NA	1270	0.390170768836108	0.0119326593273593	0.410118486306518	0	0	0	1	1	5	1237	0.000307221077823707	0.000307221077823707	0.380032473267926	0.00153610538911854	0	0.652983100336988	0.658287263179505	0.999298921500404	0.999642087444335	1	0.996521642956877	0.653008177571506	0.658312544115673	0.999337298685655	0.999680477808569	English
fun		NA	913	0.280492844053045	0.593803480031246	0.499124019974997	0	0	0	149	0	478	267	0.0457759405957324	0	0.0820280277789299	0.146851675199732	0	0.760809414881119	0.895342067628575	1	0.943208647658898	1	0.846492072928138	0.760838633089233	0.895376452443422	1	0.943244870747128	English
good		NA	6868	2.10999436249322	0.17527594702326	0.592624964781741	0	0	0	3888	0	2149	196	1.19447555057857	0	0.0602153312534466	0.660218096243147	0	0.354552272789192	0.924739130902291	1	0.409603097249297	1	0.535542620290131	0.354565889053517	0.924774644685176	1	0.409618827691514	English
grow		NA	1227	0.376960262489689	0.309556777403163	0.988684270715077	0	70	59	96	885	91	3	0.0294932234710759	0.271890653873981	0.000921663233471122	0.0279571180819574	0.0396315190392582	0.701113093888906	0.998528411037222	0.757239819611239	0.950326038368839	0.942117398390467	0.961959886143867	0.701140019512968	0.998566758631705	0.757268900732225	0.950362534794122	English
hard		NA	1583	0.486330966194929	0	0.532193717636921	0	0	0	380	0	1020	0	0.116744009573009	0	0	0.313365499380181	0	0.587133662966412	1	1	0.868042402653161	1	0.6853419808838	0.587156211311923	1	1	0.868075739048684	English
hate		NA	455	0.139785590409787	0.0262428600671435	0.544568447628201	0	0	5	2	442	0	0	0.000614442155647415	0.135791716398079	0	0	0.00153610538911854	0.840485093979348	1	0.845198230125781	0.998774802341637	0.995777553506389	1	0.840517372060969	1	0.8452306892112	0.998813159398559	English
here		NA	4859	1.49278721714539	0.0549691901206253	0	0	0	0	0	5	234	451	0	0.00153610538911854	0.138556706098492	0.0718897322107475	0	0.424655758821816	0.841413708511714	0.997240540278986	1	1	0.899036708310483	0.424672067348098	0.84144602225595	0.997278838413939	1	English
house		NA	2159	0.663290307021384	0.181735383734812	0.667906003146912	0	45	1	98	3	4	1994	0.0301076656267233	0.000921663233471122	0.612598829180472	0.00122888431129483	0.0141321695798905	0.667889083682563	0.68204144751608	0.998090621001324	0.963596452825434	0.986214068574815	0.997695841916321	0.667914733368098	0.682067640710546	0.998128951782871	0.963633458889167	English
husband		NA	1381	0.42427230847454	0.010589465423001	0.630929753571458	0	0	0	2	0	2	1281	0.000614442155647415	0	0.393550200692169	0.000614442155647415	0	0.668218046571661	0.679112347938562	1	0.998632558982605	1	0.998310591293045	0.668243708890722	0.679138428643567	1	0.998670910576797	English
idea		NA	826	0.253764610282382	0.00852085930098857	0	0	0	0	1	0	0	823	0.000307221077823707	0	0.252842947048911	0	0	0.736033610223954	0.736646375573053	1	0.999719814377024	1	1	0.736061876939352	0.736674665821158	1	0.999758207726292	English
