item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
c̓awa·-činkʷ	1	0	1	0	0.977049964140569	1	0.977049964140569	1	0.9844634469468867	1	0.9844634469468867	1	one-together.with
c̓awa·-ʼatḥ	1	0	1	0	0.9765718383934975	1	0.9765718383934975	1	0.9839816933638444	1	0.9839816933638444	1	one-residing
c̓awa·k	1	0	0	1	0.8856084150131484	1	1	0.8856084150131484	0.8923280741900517	1	1	0.8923280741900517	
c̓awaːk	14	3	8	2	0.4366995662716437	0.6445135070523548	0.5369352139612719	0.7726512072675115	0.44001307616868257	0.6494038299409852	0.5410092737564737	0.7785137901963147	
c̓awaːkʷaɬ	1	0	0	0	0.8911068611044705	1	1	1	0.897868240395038	1	1	1	
c̓ax	4	1	3	0	0.9203920631125987	0.9203920631125987	0.9203920631125987	1	0.9273756473563773	0.9273756473563773	0.9273756473563773	1	spear
c̓axʷ	3	0	3	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	spear
c̓aʔak	15	13	2	0	0.6401227189417484	0.6298663086853381	0.7534066459478844	1	0.6449797262033804	0.6346454942143248	0.7591232084788632	1	river
c̓aː	3	3	0	0	0.867798230934736	0.867798230934736	1	1	0.8743827532217272	0.8743827532217272	1	1	
c̓aːnit	2	0	2	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	
c̓aːḥ	3	1	2	0	0.7767152761176189	0.8856084150131484	0.8911068611044705	1	0.782608695652174	0.8923280741900517	0.897868240395038	1	hard
c̓aḥʷackʷi	2	2	0	0	0.9896007650011953	0.9896007650011953	1	1	0.9971094785017464	0.9971094785017464	1	1	
c̓i	2	0	2	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	splash
c̓i-c̓uq	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	scoop.up.in.a.vessel-in.the.mouth
c̓ic̓iša	2	0	2	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	loathing
c̓ikt̓aqis	1	1	0	0	0.8856084150131484	0.8856084150131484	1	1	0.8923280741900517	0.8923280741900517	1	1	
c̓is	2	2	0	0	0.8911068611044705	0.8911068611044705	1	1	0.897868240395038	0.897868240395038	1	1	rope
c̓is-iːc	1	1	0	0	0.9674874491991394	0.9674874491991394	1	1	0.9748283752860413	0.9748283752860413	1	1	rope-around.the.head
c̓is-san̓ap	1	0	1	0	0.9765718383934975	1	0.9765718383934975	1	0.9839816933638444	1	0.9839816933638444	1	rope-on.the.beach.MOMCAUS
c̓isimc	1	1	0	0	0.867798230934736	0.867798230934736	1	1	0.8743827532217272	0.8743827532217272	1	1	soil
c̓isq	1	1	0	0	0.8856084150131484	0.8856084150131484	1	1	0.8923280741900517	0.8923280741900517	1	1	meat
c̓istu·p	2	2	0	0	0.9765718383934975	0.9765718383934975	1	1	0.9839816933638444	0.9839816933638444	1	1	rope
