item	gloss	frequency	rel_freq	flexibility	flexibility_broad	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
friend		1270	0.3901707688361083	0.011932659327359261	0.41011848630651815	0	0	1	1	5	1237	0.0003072210778237073	0.0003072210778237073	0.38003247326792594	0.0015361053891185367	0	0.6529831003369883	0.6582872631795045	0.9992989215004039	0.9996420874443347	1	0.996521642956877	0.6530081775715059	0.658312544115673	0.9993372986856554	0.9996804778085687
fun		912	0.2801856229752211	0.5942602470332485	0.4991240199749967	0	0	149	0	478	266	0.045775940595732395	0	0.08172080670110615	0.1468516751997321	0	0.7616774539667609	0.896216111594984	1	0.9432086476588976	1	0.8464920729281387	0.7617067055111425	0.8962505299767115	1	0.9432448707471279
good		6868	2.109994362493222	0.1752759470232604	0.5926249647817414	0	0	3888	0	2149	196	1.194475550578574	0	0.060215331253446636	0.6602180962431471	0	0.3545522727891917	0.9247391309022915	1	0.4096030972492964	1	0.5355426202901308	0.35456588905351605	0.9247746446851771	1	0.4096188276915139
grow		1227	0.3769602624896889	0.3095567774031625	0.9886842707150774	70	59	96	885	91	3	0.029493223471075903	0.271890653873981	0.000921663233471122	0.027957118081957368	0.039631519039258246	0.7011130938889059	0.9985284110372216	0.7572398196112393	0.9503260383688391	0.9421173983904676	0.9619598861438677	0.7011400195129683	0.9985667586317049	0.757268900732225	0.9503625347941219
hard		1583	0.4863309661949287	0	0.5323680045837614	0	0	380	0	1019	0	0.11674400957300879	0	0	0.3130582783023578	0	0.5871336629664129	1	1	0.8680424026531609	1	0.6853352460996021	0.5871562113119242	1	1	0.8680757390486838
hate		455	0.13978559040978683	0.026242860067143544	0.5445684476282008	0	5	2	442	0	0	0.0006144421556474146	0.13579171639807863	0	0	0.0015361053891185367	0.8404850939793486	1	0.8451982301257824	0.9987748023416383	0.9957775535063895	1	0.8405173720609703	1	0.8452306892112011	0.9988131593985602
here		4859	1.492787217145394	0.05496919012062534	0	0	0	0	5	234	451	0	0.0015361053891185367	0.138556706098492	0.07188973221074751	0	0.4246557588218164	0.8414137085117135	0.9972405402789862	1	1	0.899036708310483	0.4246720673480979	0.8414460222559494	0.9972788384139398	1
house		2159	0.6632903070213841	0.18173538373481218	0.6679060031469124	45	1	98	3	4	1994	0.030107665626723318	0.000921663233471122	0.6125988291804724	0.0012288843112948293	0.014132169579890537	0.6678890836825627	0.6820414475160803	0.998090621001323	0.9635964528254344	0.9862140685748159	0.9976958419163213	0.6679147333680977	0.6820676407105463	0.9981289517828696	0.9636334588891677
husband		1381	0.42427230847453984	0.010589465423001007	0.6309297535714575	0	0	2	0	2	1281	0.0006144421556474146	0	0.39355020069216906	0.0006144421556474146	0	0.6682180465716615	0.679112347938562	1	0.9986325589826052	1	0.9983105912930457	0.6682437088907233	0.679138428643567	1	0.9986709105767975
idea		826	0.25376461028238223	0.008520859300988568	0	0	0	1	0	0	823	0.0003072210778237073	0	0.25284294704891114	0	0	0.7360336102239543	0.7366463755730531	1	0.9997198143770248	1	1	0.7360618769393517	0.736674665821158	1	0.9997582077262924
