item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
blank		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
blood		NULL	2	0.0006144421556474146	0.6309297535714575	0	0	0	0	1	0	0	1	0.0003072210778237073	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	0.9985738797567393	1	1	0.9986122290974082	0.9986122290974082	1	0.9986122290974082
board		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
bomb		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
book		NULL	16	0.004915537245179317	0	NaN	0	0	0	0	0	0	16	0	0	0.004915537245179317	0	0	0.998706906483437	0.998706906483437	1	1	1	1	0.9987452609328789	0.9987452609328789	1	1
boot		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
border		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
bore		NULL	1	0.0003072210778237073	0	0	0	0	0	0	0	1	0	0	0	0	0.0003072210778237073	0	0.9991259560335884	1	1	1	1	0.9991259560335884	0.9991643265762552	1	1	1
bother		NULL	2	0.0006144421556474146	0	0	0	0	1	0	1	0	0	0	0.0003072210778237073	0	0	0.0003072210778237073	0.9985738797567393	1	0.9985738797567393	1	0.9985738797567393	1	0.9986122290974082	1	0.9986122290974082	1
bottle		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
boy		NULL	7	0.002150547544765951	0	NaN	0	0	0	0	0	0	7	0	0	0.002150547544765951	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
break		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0.9985738797567393	1	0.9985738797567393	1	1	1	0.9986122290974082	1	0.9986122290974082	1
breath		NULL	1	0.0003072210778237073	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0003072210778237073	0.9985738797567393	1	1	1	0.9985738797567393	1	0.9986122290974082	1	1	1
bring		NULL	6	0.001843326466942244	0	0	0	0	3	0	3	0	0	0	0.000921663233471122	0	0	0.000921663233471122	0.9985738797567393	1	0.9985738797567393	1	0.9985738797567393	1	0.9986122290974082	1	0.9986122290974082	1
broaden		NULL	1	0.0003072210778237073	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0003072210778237073	0.9991259560335884	1	1	1	0.9991259560335884	1	0.9991643265762552	1	1	1
brother		NULL	16	0.004915537245179317	0	NaN	0	0	0	0	0	0	16	0	0	0.004915537245179317	0	0	0.9976998357903308	0.9976998357903308	1	1	1	1	0.9977381515641195	0.9977381515641195	1	1
bullet		NULL	5	0.0015361053891185367	0	NaN	0	0	0	0	0	0	5	0	0	0.0015361053891185367	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
business		NULL	629	0.1932420579511119	0.5174454699362573	0.08435402135673152	0	0	0	158	0	3	460	0.04854093029614576	0	0.14132169579890538	0.000921663233471122	0	0.8176166710445647	0.8522005310783828	1	0.9450664135164977	1	0.9991185827277217	0.817648070884767	0.8522332590809343	1	0.9451027079505715
busy		NULL	1	0.0003072210778237073	0	0	0	0	0	0	0	1	0	0	0	0	0.0003072210778237073	0	0.9991259560335884	1	1	1	1	0.9991259560335884	0.9991643265762552	1	1	1
buy		NULL	2	0.0006144421556474146	0	0	0	0	1	0	1	0	0	0	0.0003072210778237073	0	0	0.0003072210778237073	0.9976998357903308	1	0.9991259560335884	1	0.9985738797567393	1	0.9977381515641195	1	0.9991643265762552	1
c		NULL	3	0.000921663233471122	0	NaN	0	0	0	0	0	0	3	0	0	0.000921663233471122	0	0	0.9996509968555892	0.9996509968555892	1	1	1	1	0.9996893875619812	0.9996893875619812	1	1
call		NULL	11	0.0033794318560607804	0.2772917256537885	0	0	0	0	1	10	0	0	0.0003072210778237073	0.0030722107782370734	0	0	0	0.9972807862401794	1	0.9972807862401794	0.9985738797567393	1	1	0.9973190859207433	1	0.9973190859207433	0.9986122290974082
came		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0.9985738797567393	1	0.9985738797567393	1	1	1	0.9986122290974082	1	0.9986122290974082	1
camp		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
canadian		NULL	1	0.0003072210778237073	0	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0	0.9991259560335884	1	1	0.9991259560335884	1	1	0.9991643265762552	1	1	0.9991643265762552
cancer		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9995809504498455	0.9995809504498455	1	1	1	1	0.9996193384661677	0.9996193384661677	1	1
capacity		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
captain		NULL	1	0.0003072210778237073	0	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0	0.9991259560335884	1	1	0.9991259560335884	1	1	0.9991643265762552	1	1	0.9991643265762552
car		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
care		NULL	4	0.0012288843112948293	0	NaN	0	0	0	0	0	0	4	0	0	0.0012288843112948293	0	0	0.9982248766123315	0.9982248766123315	1	1	1	1	0.9982632125498454	0.9982632125498454	1	1
carolina		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	0	0	2	0	0	0.0006144421556474146	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
carrot		NULL	1	0.0003072210778237073	0	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0	0.9991259560335884	1	1	0.9991259560335884	1	1	0.9991643265762552	1	1	0.9991643265762552
carry		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0.9985738797567393	1	0.9985738797567393	1	1	1	0.9986122290974082	1	0.9986122290974082	1
castile		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
