item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm
man	933	753	2	16	0.7650835105176569	0.8044283592790411	0.9988936968987545	0.9941978227242206	0.7651128928686074	0.8044592526338735	0.998932058521716	0.994236004006316
manage	150	19	121	5	0.9428799211056265	0.9932780028172151	0.951878426475082	0.9972691118392238	0.9429161315694062	0.993316148774446	0.9519149825184477	0.9973074110714427
money	2293	2221	10	29	0.6220411957191447	0.6253236230142938	0.9954832357138342	0.9879904208467923	0.6220650846573679	0.6253476380112143	0.9955214663610708	0.9880283637391459
more	6191	1294	197	3501	0.35545772794817565	0.6059536719304206	0.9193179077630155	0.4287079758734153	0.3554713789856991	0.6059769430416178	0.9193532133486537	0.4287244400214844
move	1267	252	960	18	0.6781382781921254	0.9027399511825689	0.7334876111180231	0.9936411381312045	0.6781643214888491	0.9027746201065465	0.7335157800565918	0.9936792980343236
much	5470	3240	70	640	0.3295585503544848	0.4057963016726648	0.9678376398047905	0.7647875753459689	0.32957120675715473	0.405811885918288	0.9678748087475333	0.7648169463317926
na	1085	0	0	0	0.7070097309586443	1	1	1	0.7070368830378028	1	1	1
name	922	763	80	70	0.755299116589121	0.7800152580160472	0.9623691046195273	0.9687848023877208	0.7553281231791352	0.7800452138074644	0.9624060635480457	0.9688220077053992
need	2711	180	2496	3	0.5006729469193766	0.9377222936511234	0.5157253372223974	0.9991364015502368	0.5006921748180773	0.9377583060408133	0.5157451431947443	0.9991747724940543
never	3024	2	12	2	0.4413804792604932	0.9987975367013964	0.993596591074919	0.9993628234845933	0.4413974300847706	0.9988358946314111	0.9936347492672482	0.9994012031239435
old	1977	5	370	838	0.5647696970219535	0.9982611286995172	0.8554272907555631	0.7485354124149489	0.5647913864992667	0.9982994660292602	0.8554601426789468	0.7485641592509271
one	13050	8383	318	3944	0.24510454706793774	0.30973207675837205	0.8688832667431649	0.36786060317823316	0.24511396008981381	0.3097439717429781	0.8689166354313244	0.36787473053713565
order	300	109	65	3	0.8933912291454492	0.9613085774588809	0.9731835937800011	0.9989256478908485	0.8934255390400816	0.961345495658798	0.9732209680293459	0.9989640107408594
other	4845	895	1	3841	0.3381766013379119	0.683460119095537	0.999732717662294	0.36997632626440496	0.3381895887091559	0.6834863667728218	0.9997711115071007	0.3699905348757686
paint	490	261	152	47	0.9536333798585165	0.971681282709443	0.9756186280428316	0.9858546199137621	0.9536700032993042	0.9717185992638689	0.975656095807499	0.9858924807825826
pay	2979	921	1897	80	0.6482997515402906	0.7825209069572504	0.6963409528314652	0.9750776117247848	0.6483246489149681	0.782550958975884	0.6963676951856999	0.9751150587122023
person	1149	1089	1	1	0.6908142538114799	0.6988524569123397	0.9996893994903202	0.9996282624958307	0.6908407839177598	0.6988792957186521	0.9997277916715311	0.9996666523291299
pretty	3808	1	105	51	0.43977298829476064	0.9997235010299583	0.9634225656953871	0.9783759372162996	0.4397898773847789	0.9997618945208085	0.9634595650811401	0.9784135108729706
problem	2429	2422	0	6	0.547631373584181	0.5486189734559802	1	0.9974930760049574	0.5476524048794436	0.5486400426791364	1	0.9975313838383206
put	3571	850	2404	36	0.4584286195830818	0.73077929246805	0.508557219351941	0.9798800916133242	0.45844622512600774	0.7308073573960525	0.5085767500391039	0.9799177230357055
real	3500	0	27	655	0.4340554551600968	1	0.9821135888491016	0.764754983509908	0.4340721246733462	1	0.9821513060469553	0.7647843532440713
