item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
area		NULL	6	0.6007810153199159	0	NaN	0	0	0	0	0	0	5	0	0	0.5006508460999299	0	0	0.421447882246921	0.48625212776609583	1	1	1	1	0.4755394870636086	0.5486611682295784	1	1
argument		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
army		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
arrive		NULL	8	0.8010413537598878	0	NaN	0	0	0	0	8	0	0	0	0.8010413537598878	0	0	0	0.535195754480825	1	0.535195754480825	1	1	1	0.6038865664896621	1	0.6038865664896621	1
artistic		NULL	1	0.10013016921998598	0	0	0	0	0	0	0	1	0	0	0	0	0.10013016921998598	0	0.71512966856914	1	1	1	1	0.71512966856914	0.8069144729409107	1	1	1
ask		NULL	5	0.5006508460999299	0	0	0	0	1	0	4	0	0	0	0.4005206768799439	0	0	0.10013016921998598	0.378552117753079	1	0.46512966856913995	1	0.8634224491839391	1	0.4271381764772342	1	0.5248277030843973	1
aspect		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.886252127766096	0.886252127766096	1	1	1	1	1	1	1	1
aspire		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.71512966856914	1	0.71512966856914	1	1	1	0.8069144729409107	1	0.8069144729409107	1
associate		NULL	1	0.10013016921998598	0	0	0	0	0	0	0	1	0	0	0	0	0.10013016921998598	0	0.71512966856914	1	1	1	1	0.71512966856914	0.8069144729409107	1	1	1
ateltisate		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
atlas		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
attend		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	2	0	0	0	0.20026033843997196	0	0	0	0.535195754480825	1	0.535195754480825	1	1	1	0.6038865664896621	1	0.6038865664896621	1
attention		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
author		NULL	3	0.30039050765995795	0	NaN	0	0	0	0	0	0	3	0	0	0.30039050765995795	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
away		NULL	7	0.7009111845399019	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0.3923386116236822	1	1	1	1	1	0.4426941265716545	1	1	1
b		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.886252127766096	0.886252127766096	1	1	1	1	1	1	1	1
baby		NULL	1	0.10013016921998598	0	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0	0.535195754480825	1	1	0.535195754480825	1	1	0.6038865664896621	1	1	0.6038865664896621
back		NULL	20	2.0026033843997197	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.178552117753079	0.71512966856914	1	1	1	1	0.20146876059202348	0.8069144729409107	1	1
bad		NULL	6	0.6007810153199159	0	0	0	0	0	0	0	4	2	0	0	0.20026033843997196	0.4005206768799439	0	0.4347151296685691	0.71512966856914	1	1	1	0.38625212776609597	0.49050954694384813	0.8069144729409107	1	1
badge		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	2	0	0	0.20026033843997196	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
balance		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.886252127766096	1	0.886252127766096	1	1	1	1	1	1	1
base		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	2	0	0	0.20026033843997196	0	0	0.25032542304996497	0.25032542304996497	1	1	1	1	0.2824539600045193	0.2824539600045193	1	1
basis		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	2	0	0	0.20026033843997196	0	0	0.578552117753079	0.578552117753079	1	1	1	1	0.6528075923624449	0.6528075923624449	1	1
battalion		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
bazooka		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	2	0	0	0.20026033843997196	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
beast		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
bed		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
bedroom		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
begin		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	2	0	0	0.20026033843997196	0	0	0.8634224491839391	0.8634224491839391	1	1	1	1	0.9742401988475877	0.9742401988475877	1	1
believe		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	2	0	0	0	0.20026033843997196	0	0	0	0.578552117753079	1	0.578552117753079	1	1	1	0.6528075923624449	1	0.6528075923624449	1
better		NULL	1	0.10013016921998598	0	0	0	0	0	0	0	1	0	0	0	0	0.10013016921998598	0	0.71512966856914	1	1	1	1	0.71512966856914	0.8069144729409107	1	1	1
big		NULL	8	0.8010413537598878	0	0.5118595071429148	0	0	0	6	0	2	0	0.6007810153199159	0	0	0.20026033843997196	0	0.41019575448082507	1	1	0.3685290878141584	1	0.535195754480825	0.46284318156140547	1	1	0.4158287199186532
biographical		NULL	1	0.10013016921998598	0	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0	0.71512966856914	1	1	0.71512966856914	1	1	0.8069144729409107	1	1	0.8069144729409107
blank		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
blood		NULL	2	0.20026033843997196	0.6309297535714575	0	0	0	0	1	0	0	1	0.10013016921998598	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	0.535195754480825	1	1	0.6038865664896621	0.6038865664896621	1	0.6038865664896621
board		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
bomb		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
